[2025-09-17 21:32:37] iter 138, accuracy: 0.506935499073172
[2025-09-17 21:32:37] iter 139, accuracy: 0.9071255697931665
[2025-09-17 21:32:37] iter 140, accuracy: 0.7842273199282541
[2025-09-17 21:32:37] iter 141, accuracy: 0.82768098782138
[2025-09-17 21:32:37] iter 142, accuracy: 0.7415361641842476
[2025-09-17 21:32:37] iter 143, accuracy: 0.7899384523005326
[2025-09-17 21:32:37] iter 144, accuracy: 0.4545572365737721
[2025-09-17 21:32:37] iter 145, accuracy: 0.8669468833011508
[2025-09-17 21:32:37] iter 146, accuracy: 0.8106543713685385
[2025-09-17 21:32:37] iter 147, accuracy: 0.8417373424025952
[2025-09-17 21:32:37] iter 148, accuracy: 0.7995618119077611
[2025-09-17 21:32:37] iter 149, accuracy: 0.841432494319328
[2025-09-17 21:32:37] iter 150, accuracy: 0.6052549264935875
[2025-09-17 21:32:37] iter 151, accuracy: 0.8163194457267999
[2025-09-17 21:32:37] iter 152, accuracy: 0.8374072005031284
[2025-09-17 21:32:37] iter 153, accuracy: 0.9361436942424696
[2025-09-17 21:32:37] iter 154, accuracy: 0.5989308159891606
[2025-09-17 21:32:38] iter 155, accuracy: 0.6303444935040181
[2025-09-17 21:32:38] iter 156, accuracy: 0.6734192197386987
[2025-09-17 21:32:38] iter 157, accuracy: 0.6300229559546028
[2025-09-17 21:32:38] iter 158, accuracy: 0.5553368556784343
[2025-09-17 21:32:38] iter 159, accuracy: 0.3928784406680492
[2025-09-17 21:32:38] iter 160, accuracy: 0.7691436617567845
[2025-09-17 21:32:38] iter 161, accuracy: 0.6165898823468067
[2025-09-17 21:32:38] iter 162, accuracy: 0.9656111440840691
[2025-09-17 21:32:38] iter 163, accuracy: 0.95826348592306
[2025-09-17 21:32:38] iter 164, accuracy: 0.8298185346306599
[2025-09-17 21:32:38] iter 165, accuracy: 0.9361330412485455
[2025-09-17 21:32:38] iter 166, accuracy: 0.7653443084037149
[2025-09-17 21:32:38] iter 167, accuracy: 0.4572183123826449
[2025-09-17 21:32:38] iter 168, accuracy: 0.9131582731955907
[2025-09-17 21:32:38] iter 169, accuracy: 0.8064644909249038
[2025-09-17 21:32:38] iter 170, accuracy: 0.5639102719632968
[2025-09-17 21:32:38] iter 171, accuracy: 0.6808297407276211
[2025-09-17 21:32:38] iter 172, accuracy: 0.671361964224854
[2025-09-17 21:32:38] iter 173, accuracy: 0.7165683714210871
[2025-09-17 21:32:38] iter 174, accuracy: 0.7226597135337263
[2025-09-17 21:32:38] iter 175, accuracy: 0.8653691962630023
[2025-09-17 21:32:38] iter 176, accuracy: 0.7873198003612915
[2025-09-17 21:32:38] iter 177, accuracy: 0.8692075169349548
[2025-09-17 21:32:38] iter 178, accuracy: 0.6118514865285027
[2025-09-17 21:32:38] iter 179, accuracy: 0.7924169949352838
[2025-09-17 21:32:38] iter 180, accuracy: 0.7659793013864962
[2025-09-17 21:32:39] iter 181, accuracy: 0.7944885567491823
[2025-09-17 21:32:39] iter 182, accuracy: 0.7702907611820164
[2025-09-17 21:32:39] iter 183, accuracy: 0.8345061387054683
[2025-09-17 21:32:39] iter 184, accuracy: 0.7931099166696725
[2025-09-17 21:32:39] iter 185, accuracy: 0.8180350675108392
[2025-09-17 21:32:39] iter 186, accuracy: 0.8724449685534589
[2025-09-17 21:32:39] iter 187, accuracy: 0.9190833215447726
[2025-09-17 21:32:39] iter 188, accuracy: 0.8503623008174565
[2025-09-17 21:32:39] iter 189, accuracy: 0.6263088148051126
[2025-09-17 21:32:39] iter 190, accuracy: 0.4915360928904782
[2025-09-17 21:32:39] iter 191, accuracy: 0.6335916084016842
[2025-09-17 21:32:39] iter 192, accuracy: 0.6445644149132519
[2025-09-17 21:32:39] iter 193, accuracy: 0.792586040196663
[2025-09-17 21:32:39] iter 194, accuracy: 0.7761839144270515
[2025-09-17 21:32:39] iter 195, accuracy: 0.9014924207184779
[2025-09-17 21:32:39] iter 196, accuracy: 0.8688094103258178
[2025-09-17 21:32:39] iter 197, accuracy: 0.8569954905832765
[2025-09-17 21:32:39] iter 198, accuracy: 0.7890510312074436
[2025-09-17 21:32:39] iter 199, accuracy: 0.8139329869979101
